[2014/06/26 17:26:07] Start running densetraj_select_features(dt, 1000000)
[2014/06/26 17:59:58] Start running densetraj_select_features(idt, 1000000)
[2014/06/26 18:07:12] Start running densetraj_select_features(idt, 1000000)
[2014/06/26 18:07:55] Start running densetraj_select_features(idt, 1000000)
[2014/06/26 18:09:54] Start running densetraj_select_features(idt, 1000000)
[2014/06/26 18:14:04] Start running densetraj_select_features(idt, 1000000)
[2014/06/26 18:18:20] Start running densetraj_select_features(idt, 1000000)
[2014/06/26 18:22:10] Start running densetraj_select_features(idt, 1000000)
[2014/06/26 18:23:05] Start running densetraj_select_features(idt, 1000000)
[2014/06/26 18:24:32] Start running densetraj_select_features(idt, 1000000)
[2014/06/26 23:43:19] Finish running densetraj_select_features(dt, 1000000). Elapsed time: 06:17:11
[2014/06/27 03:52:30] Finish running densetraj_select_features(idt, 1000000). Elapsed time: 09:27:57
